,Sentences
1558,"With some of the moths, the pupae are surrounded by silk cocoons spun by the caterpillars just before finally transforming to pupae."
1559,"With all butterflies the chrysalids are naked, except with one species which occurs in Central America in which there is a common silk cocoon."
1560,"With the moths, the larger part spin cocoons, but some of them, like the owlet moths whose larvae are the cutworms, have naked pupre, usually under the surface of the ground."
1561,"It is not difficult to study the transformations of the butterflies and moths, and it is always very interesting to feed a caterpillar until it transforms, in order to see what kind of a butterfly or moth comes out of the chrysalis."
1562,"Take the monarch butterfly, for example: This is a large, reddish brown butterfly, a strong flier, which is seen often flying about in the spring and again in the late summer and autumn."
1563,This is one of the most remarkable butterflies in America.
1564,It is found all over the United States.
1565,It is one of the strongest fliers that we know.
1566,"It passes the winter in the Southern states as an adult butterfly, probably hidden away in cracks under the bark of trees or elsewhere."
1567,When spring comes the butterflies come out and begin to fly toward the north.
1568,Wherever they find the milk weed plant they stop and lay some eggs on the leaves.
1569,"The caterpillars issue from the eggs, feed on the milkweed, transform to chrysalids; then the butterflies issue and continue the northward flight, stopping to lay eggs farther north on other milkweeds."
1570,By the end of June or July some of these Southern butterflies have found their way north into Canada and begin the return flight southward.
1571,"Along in early August they will be seen at the summer resorts in the Catskill Mountains, and by the end of October they will have traveled far down into the Southern states where they pass the winter."
1572,Illustration: Empty chrysalis and butterfly The caterpillar of the monarch or milkweed butterfly is a very striking creature.
1573,It is nearly two inches long when full grown.
1574,Its head is yellow striped with black; its body is white with narrow black and yellow cross stripes on each segment.
1575,"On the back of the second segment of the thorax there is a pair of black, whiplash like filaments, and on the eighth joint there is a similar shorter pair."
1576,"When this caterpillar gets ready to transform to chrysalis, it hangs itself up by its tail end, the skin splits and gradually draws back, and the chrysalis itself is revealed pale pea green in color with golden spots."
1577,Anyone by hunting over a patch of milkweed anywhere in the United States during the summer is quite apt to find these caterpillars feeding.
1578,"It will be easy to watch them and to see them transform, and eventually to get the butterfly."
1579,The same thing may be done with anyone of the six hundred and fifty two different kinds of butterflies in the United States.
1580,"Illustration: Larva getting ready to transform Illustration: Full grown larva Moths When it comes to moths, there is a much greater variety."
1581,"Instead of six hundred and fifty two, there are fifty nine hundred and seventy in Doctor Dyar's big catalogue."
1582,"Perhaps the most interesting of these caterpillars are the big native silk worms, like those of the cecropia moth, the luna moth, the polyphemus moth, or the promethia moth."
1583,"These caterpillars are very large and are to be found feeding upon the leaves of different trees, and all spin strong silken cocoons."
1584,"People have tried to reel these cocoons, thinking that they might be able to use the silk to make silk cloth as with the domestic silk worm of commerce, but they have been unable to reel them properly."
1585,"The polyphemus moth, for example, has been experimented with a great deal."
1586,"It is found over a greater part of the United States, and its caterpillar feeds upon a great variety of trees and shrubs such as oak, Butternut, hickory, basswood, elm, maple, birch, chestnut, sycamore, and many others."
1587,The caterpillar is light green and has raised lines of silvery white on the side.
1588,"It grows to a very large size and spins a dense, hard cocoon, usually attached to leaves."
1589,"There are two generations in the Southern states, and one in the Northern states."
1590,The moth which comes out of the cocoon has a wing spread of fully five inches.
1591,"It is reddish gray or somewhat buff in color with darker bands near the edge of the wings, which themselves are pinkish on the outside, and with a large clear spot near the centre of the forewing and a regular eyespot in the centre of the hind wing."
1592,"One wishing to know about butterflies and moths should consult a book entitled, How to Know the Butterflies, by Prof. J. H. Comstock of Cornell University and his wife, Mrs. Comstock, published by D. Appleton Co., of New York, or, The Butterfly Book, by Dr. W. J. Holland of Pittsburg, published by Doubleday, Page Co., of New York, and The Moth Book, also by Doctor Holland, and published by the same firm."
1593,"Illustration: Caterpillar to chrysalis Other Insects There are many more different kinds of insects than there are of flowering plants, and if we were to add together all of the different kinds of birds, mammals, reptiles, fishes, crabs, mollusks, and all of the lower forms of animal life, they would not all together amount to so many different kinds as there are insects."
1594,This makes the classification of insects quite complicated.
1595,"There are eighteen or nineteen main orders, and each one is subdivided almost indefinitely."
1596,There is not one of these that is not full of interest.
1597,"The habits of ants, for example, living in communities by themselves, afford a tremendous opportunity for interesting observation."
1598,"A good book about them has been recently written by Dr. W. M. Wheeler, of Harvard, entitled Ants, their Structure, Development, and Behavior, published by the Columbia University Press, New York."
1599,"Many insects live in the water, and to follow their life histories in small home made aquaria is one of the most interesting occupations one could have, and there is a lot to be learned about these insects."
1600,"Go to any stagnant pool and you will find it swarming with animal life: Larvae or wigglers of mosquitoes, and a number of other aquatic insects will be found, feeding upon these wigglers."
1601,Water bugs of different kinds will be found and the life histories of most of these were until quite recently almost unknown.
1602,"Beetles and Wasps The order _Coleoptera_, comprising what we know as beetles, has thousands of species, each one with its own distinctive mode of life; some of them feeding upon other insects, others boring into wood, others feeding upon flowers, others upon leaves, and so on in endless variety."
1603,The wasps also will bear study.
1604,"Here, too, there is a great variety, some of them building the paper nests known to every one, others burrowing into the surface of the ground and storing up in these burrows grasshoppers and other insects for food for their young which are grub like in form; others still burrowing into the twigs of bushes, and others making mud nests attached to the trunks of trees or to the clapboards of houses or outbuildings."
1605,This is just a hint at the endless variety of habits of insects.
1606,"The United States National Museum publishes a bulletin, by Mr. Nathan Banks, entitled Directions for Collecting and Preserving Insects, which gives a general outline of the classification, and should be possessed by everyone who wishes to take up the study from the beginning."
1607,"FISHES _By Dr. Hugh M. Smith, Deputy Commissioner United States Fisheries_ There is no more fascinating and profitable study than the fish life of the lakes, ponds, rivers, brooks, bays, estuaries, and coasts of the United States; and no more important service can be rendered our American boys than to teach them to become familiar with our native food and game fishes, to realize their needs, and by example and precept to endeavor to secure for the fishes fair consideration and treatment."
1608,"Illustration: _Esox lucius_ Common pike pickerel Illustration: _Oncorhynchus tschawytscha_ Chinook salmon Illustration: _Coregonus clupeiformis_ Common whitefish Illustration: _Salvelinus fontinalis_ Brook trout: speckled trout Illustration: _Ictalurus punctatus_ The speckled catfish Classes of Fish Fishes may be roughly classified as fresh water, migratory between fresh and salt water, and marine."
1609,"Among the families of American fresh water fishes that are conspicuous on account of their size, abundance, or economic importance, or all of these, there may be mentioned the sturgeons, the catfishes, the suckers, the minnows or carps, the pikes, the killifishes, the trouts, salmons, and whitefishes, the perches, and the basses, and sun fishes."
1610,"Migratory Fish The migratory fishes fall into two groups, the anadromous and the catadtomous."
1611,"The anadromous fishes pass most of their lives in the sea, run up stream only for the purpose of spawning, and constitute the most valuable of our river fishes."
1612,"In this group are the shads and the alewives or river herrings, the white perch, the striped bass or rock fish, some of the sturgeons, and the Atlantic salmon, all of which go back to sea after spawning, and the Pacific salmons , all of which die after spawning."
1613,Of the catadromous fishes there is a single example in our waters the common eel.
1614,"It spends most of its life in the fresh waters and sometimes becomes permanently landlocked there, and runs down to the sea to spawn, laying its eggs off shore in deep water."
1615,"Marine Fish The marine fishes that are found in the coastal waters of the United States number many hundred species, some of them of great value as food."
1616,"Among the most important are cod, haddock, hake, halibut, Flounder, herring, bluefish, mackeral, weakfish or squeteague, mullet, snapper, drum, and rock fishes."
1617,"Illustration: _Perea flavescens_ Yellow perch Illustration: _Pomolobus altivalis_ The alewife or river herring Illustration: _Micropterus salmoides_ Large mouth black bass Illustration: _Notropis hudsonius_ Minnow or shiner Illustration: _Acipenser oxyrhynchus_ The Atlantic sturgeon Studying Fish The study of living fishes is most entertaining and is rendered somewhat difficult by the medium in which they live, by their shyness, and by the necessity of approaching closely in order to obtain any accurate view."
1618,"The spawning, feeding, swimming and other habits of very few of our fishes are so well known that further information thereon is not needed; and the boy scout's patience, skill, and powers of observation will be reflected in the records that may be and should be kept about the different fishes met with."
1619,"Fishes may be studied from a bank, wharf, or boat, or by wading; and the view of the bottom and the fishes on or adjacent thereto may be greatly improved by the use of a water bucket an ordinary wooden pail whose bottom is replaced by a piece of window glass."
1620,A more elaborate arrangement for observation is to provide at the bow of a row boat a glass bottom box over which may be thrown a hood so that the student is invisible to the fishes.
1621,"Illustration: _Fundulus diaphanus_ Killifish: top minnow Illustration: _Catostomus commersonii_ Common sucker: white sucker Identification of Specimens While many of the fishes in a given section are easily recognizable, there are in every water fishes which, on account of their small size, rarity, retiring habits, or close similarity to other fishes, are unknown to the average boy."
1622,These latter fishes often afford the most interesting subjects for study; and in all parts of the country it is possible for energetic observers and collectors to add to the list of fishes already recorded from particular districts.
1623,"When fishes cannot be identified in the field, the larger ones may be sketched and notes taken on their color, while the smaller ones may be preserved with salt, formalin, or any kind of spirits."
1624,"Specimens and drawings may be forwarded for identification to the zoological department of the local state university, to the state fish commission, to the Bureau of Fisheries, Washington, D. C., or to the United States National Museum in the same city."
1625,"Angling This most delightful of outdoor pastimes requires for its enjoyment no elaborate or expensive paraphernalia: a rod cut on the spot, a cork float, an ordinary hook baited with angleworm, grasshopper, grub, may fly, or any of a dozen other handy lures, will answer for most occasions."
1626,"At the same time, the joys of fishing will often be increased if one possesses and learns how to use a light, jointed rod, with reel, fine line, and artificial baits."
1627,The necessary equipment for scientific angling is so light and compact that it should form a part of the outfit of every one who spends much time in the open air.
1628,It should be the invariable practice of anglers to return to the water all uninjured fish that are not needed for food or study.
1629,"It is not all of fishing to fish, and no thoughtful boy who has the interests of the country at heart, and no lover of nature, will go fishing merely for the purpose of catching the longest possible string of fish, thus placing himself in the class of anglers properly known as fish hogs."
1630,"Special Service by Boy Scouts Valuable service may be rendered by boy scouts in all parts of the country by bringing to the attention of the proper state, county, or municipal authorities matters affecting the welfare of the fishes."
1631,"Among the subjects that should be reported to fish commissioners, fish wardens, or local legal officers are: All cases noticed where fish are being killed by dynamite, poisons, or other illegal and improper means."
1632,Threatened destruction of fish by the drying of streams or ponds.
1633,The existence of obstructions to the passage of fish on their way to their spawning grounds.
1634,All dams in streams in which are migratory fish should have fish ways or fish ladders.
1635,"Aquarium _William Leland Stowell, M. D._ Every boy should have an aquarium."
1636,"The aquarium will give ten times as much pleasure as annoyance, and the longer time you have one undisturbed the greater will be its revelations."
1637,A simple tank can be made from a large water bottle or demijohn.
1638,File a line around the top and carefully break it off.
1639,"For the back yard, cut a paint barrel in two or coat a tub inside with spar varnish."
1640,"Anything that will hold a few gallons of water, two inches of clean sand, and some water plants will be a suitable home for fish and other creatures."
1641,"A boy handy with tools can make a frame, and with plate glass and proper cement construct a large tank."
1642,Starting the Aquarium You can balance your aquarium by plenty of plants.
1643,As they grow they give off oxygen which purifies the water and is breathed by the fish.
1644,The water need not be changed for years.
1645,The swamps and slow streams afford great numbers of plants.
1646,"If you know the plants get pond weeds, Canadian water weed, ludwigia, willow moss, or tape grass."
1647,Take some tape grass to your teacher or doctor and ask him to show you under his microscope how the sap flows and the green coloring matter is deposited.
1648,The simplest form of vegetation is algae which grows on the sides of the tank.
1649,"Lest this grow too thick, put in a few snails."
1650,Watch the snails' eggs develop in clusters.
1651,Buy if you cannot find banded swamp snails that give birth to their young instead of laying eggs.
1652,"Any pond or stream will furnish fish that are beautiful or interesting to watch, e.g., killies, sunfish, cat fish, carp, shiners, blacknosed dace, minnows the mud minnow that seems to stand on his tail darters, etc."
1653,"If you get your supply from dealers, buy gold fish, of which there are several varieties, fan tailed, comets, fringe tails and telescope eyed."
1654,Paradise fish are as beautiful as butterflies.
1655,Illustration: A balanced aquarium Fish Nests Every one knows something of birds' nests.
1656,"Did you ever watch sticklebacks build their barrel like nest, or the Paradise fish his floating nest, and the father fish take all the care of the young"
1657,"Did you ever see the newt roll her eggs in small leaves, or the caddis fly make a case of bits of stick, leaves, and sand"
1658,"For a real marvel watch a pair of diving spiders weave their balloon like nest under water and actually carry air down to fill it, so that the young may be dry though submerged."
1659,"Put in a few fresh water clams and insects in variety, water boatmen, diving spiders, and whirligigs."
1660,A tank of beetles will be full of interest.
1661,"Always add two or three tadpoles as scavengers, and watch their legs grow out as the tail grows short and they become frogs."
1662,You can find or buy a variety of turtles which will soon be tame and eat from your fingers.
1663,Do not keep turtles with fish.
1664,On every hike or tramp carry a wide mouthed bottle for specimens and a piece of rubber cloth in which to bring home water plants.
1665,Fish can be carried wrapped in damp moss for hours and will be found well and lively when put in the aquarium.
1666,Fish Food Fish require very little food other than the minute creatures that develop in the water.
1667,"The dealers supply proper foods for aquaria, or you can prepare your own."
1668,"Fine vermicelli is good for gold fish, scraped lean beef is just what the sunfish and Paradise fish want."
1669,"Ant eggs suit many fish, and powdered dog biscuit will fill many mouths."
1670,It is evident that an article so brief as this is only suggestive.
1671,The libraries contain many books of which two are recommended: Home Aquarium and How to Care For It.
1672,"Published by L. Upcott Gill, Strand, W. C., London."
1673,"ROCKS AND PEBBLES _United States Geological Survey_ Geologists study the materials of the earth's crust, the processes continually changing its surface, and the forms and structures thus produced."
1674,In a day's tramp one may see much under each of these heads.
1675,"The earth's crust is made up chiefly of the hard rocks, which outcrop in many places, but are largely covered by thin, loose, surface materials."
1676,"Rocks may be igneous, which have cooled from a melted condition; or sedimentary, which are made of layers spread one upon another by water currents or waves, or by winds."
1677,"Igneous rocks, while still molten, have been forced into other rocks from below, or poured out on the surface from volcanoes."
1678,"They are chiefly made of crystals of various minerals, such as quartz, felspar, mica, and pyrite."
1679,Granite often contains large crystals of felspar or mica.
1680,"Some igneous rocks, especially lavas, are glassy; others are so fine grained that the crystals cannot be seen."
1681,"In places one may find veins filling cracks in the rocks, and made of material deposited from solution in water."
1682,"Many valuable minerals and ores occur in such veins, and fine specimens can sometimes be obtained from them."
1683,Illustration: Fold in stratified rock Illustration: Wearing the soft and hard beds by rain and wind Illustration: Quartz vein in rock continued Sedimentary rock are formed of material usually derived from the breaking up and wearing away of older rocks.
1684,"When first deposited, the materials are loose, but later, when covered by other beds, they become hardened into solid rock."
1685,"If the layers were of sand, the rock is sandstone; if of clay, it is shale."
1686,"Rocks made of layers of pebbles are called conglomerate or pudding stone; those of limy material, derived perhaps from shells, are limestone."
1687,"Many sedimentary rocks contain fossils, which are the shells or bones of animals or the stems and leaves of plants living in former times, and buried by successive beds of sand or mud spread over them."
1688,"Much of the land is covered by a thin surface deposit of clay, sand, or gravel, which is yet loose material and which shows the mode of formation of sedimentary rocks."
1689,"Some rocks have undergone, since their formation, great pressure or heat and have been much changed."
1690,"Some are now made of crystals though at first they were not; in others the minerals have become arranged in layers closely resembling the beds of sedimentary rocks; still others, like slate, tend to split into thin plates."
1691,"The earth's surface is continually being changed; the outcropping hard rock is worn away by wind and rain, and is broken up by frost, by solution of some minerals, etc."
1692,"The loose material formed is blown away or washed away by rain and deposited elsewhere by streams in gravel bars, sand beds, and mud flats."
1693,"The streams cut away their beds, aided by the sand and pebbles washed along."
1694,"Thus the hills are being worn down and the valleys deepened and widened, and the materials of the land are slowly being moved toward the sea, again to be deposited in beds."
1695,"Illustration: Wave cut cliff with beach and spit built by waves and currents Along the coast the waves, with the pebbles washed about, are wearing away the land and spreading out its materials in new beds elsewhere."
1696,The shore is being cut back in some places and built out in others.
1697,Rivers bring down sand and mud and build deltas or bars at their mouths.
1698,"Volcanoes pour out melted rock on the surface, and much fine material is blown out in eruptions."
1699,Swamps are filled by dead vegetable matter and by sand and mud washed in.
1700,These materials form new rocks and build up the surface.
1701,"Thus the two processes, the wearing down in some places and the building up in others, are tending to bring the surface to a uniform level."
1702,"Another process, so slow that it can be observed only through long periods of time, tends to deform the earth's crust and to make the surface more irregular."
1703,"In times past, layers of rock once horizontal have been bent and folded into great arches and troughs, and large areas of the earth's surface have been raised high above sea level."
1704,"Illustration: Rock ledge rounded smooth and scratched by ice Illustration: Sand dune with wind rippled surface At almost any rock outcrop the result of the breaking up process may be seen; the outer portion is softer, more easily broken, and of different color from the fresh rock, as shown by breaking open a large piece."
1705,"The wearing away of the land surface is well shown in rain gullies, and the carrying along and depositing of sand and gravel may be seen in almost any stream."
1706,"In the Northern states and Canada, which at one time were covered by a great sheet of ice, moving southward and grinding off the surface over which it passed, most of the rock outcrops are smoothly rounded and many show scratches made by pebbles dragged along by the ice."
1707,"The hills too have smoother and rounder outlines, as compared with those farther south where the land has been carved only by rain and streams."
1708,"Along the coast the wearing away of the land by waves is shown at cliffs, found where the coast is high, and by the abundant pebbles on the beaches, which are built of material torn from the land by the waves."
1709,Sand bars and tidal flats show the deposition of material brought by streams and spread out by currents.
1710,Sand dunes and barrens illustrate the carrying and spreading out of fine material by the wind.
1711,"Illustration: Slab containing fossil shells Illustration: Conglomerate or pudding stone In many regions the beds of sedimentary rocks, which must have been nearly horizontal when formed, are now found sloping at various angles or standing on edge, the result of slow deforming of these beds at an earlier time."
1712,"As some beds are more easily worn away than others, the hills and valleys in such regions owe their form and position largely to the different extent to which the harder and softer beds have been worn down by weather and by streams."
1713,The irregular line of many coasts is likewise due to the different hardness of the rocks along the shore.
1714,"It is by the study of the rocks and of the remains of life found in them, by observing the way in which the surface of the earth is being changed and examining the results of those changes and by concluding that similar results were produced in former times in the same way, that geologists are able to read much of the past history of the earth, uncounted years before there were men upon it."
1715,"Plants, Ferns, and Grasses _By Dr. L. C. Corbett, Horticulturist, United States Bureau of Plant Industry_ The appearance of the blossoms and fruits of the fields and forests in any locality note the advent and progress of the seasons more accurately than does the calendar."
1716,"Plants and seeds which have lain asleep during the winter are awakened not by the birth of a month, but by the return of heat and moisture in proper proportions."
1717,"This may be early one year and late another, but, no matter what the calendar says, the plants respond to the call and give evidence of spring, summer, or autumn as the case may be."
1718,The surface of the earth is not flat.
1719,We have valleys and we have mountains; we have torrid and we have temperate zones.
1720,"The plant life of the world has been adjusted to these varied conditions, and as a result we have plants with certain characteristics growing in the tropics at sea level, but a very different class of plants with different habits and characteristics inhabiting the elevated regions of this same zone."
1721,It must be remembered that even under the tropics some of the highest mountains carry a perpetual snow cap.
1722,"There is therefore all possible gradations of climate from sea level to the top of such mountains, even at the equator, and plant life is as a result as varied as is climate."
1723,"Each zone, whether determined by latitude or by altitude, possesses a distinctive flora."
1724,But altitude and latitude are not the only factors which have been instrumental in determining the plants found in any particular locality.
1725,This old earth of ours has not always been as we see her to day.
1726,The nature we know and observe is quite different from that which existed in earlier ages of the earth's history.
1727,"The plants, the trees, and the flowers that existed upon the earth during the age when our coal was being deposited were very different from those we now have."
1728,"There has been a change, but, strange as it may seem, there are in some places upon the earth to day some of the same species of plants which were abundant during the coal forming periods."
1729,These are among the oldest representatives of the plant world now extant.
1730,Then we are told that there was a period when the north temperate zone was covered with a great ice field which crowded down as far as southern Pennsylvania and central Ohio.
1731,This naturally brought about a profound change in the location and character of the plants of this region.
1732,"There are in the Black Hills of Dakota species of plants which have no relatives anywhere in the prairie region, and no means is known by which these representatives of a Rocky Mountain family could find their way into the Black Hills, save that, previous to the ice age, this species was generally scattered over the territory, and that, during the ice age, the species was perpetuated in the hills, but was killed out between there and the Rocky Mountains where it is found in abundance."
1733,These are some of the natural reasons for the existence of varied plants in different localities.
1734,They are sufficient to explain the reason for the existence of local floras.
1735,"But nature has provided untold ways for the perpetuation as well as the dispersal of plants for the purpose of, so far as possible, enabling the plants of the world to take possession of all parts of the earth's surface."
1736,"If this adjustment were complete, the plants would be practically alike all over the surface of the earth, but we have already explained why this cannot be and why we have a different flora in each zone, whether it be marked by lines of latitude or height of the mountains."
1737,"Plants are perpetuated by seeds, by bulbs, and by woody parts."
1738,Some seeds are highly perishable and must be sown as soon as ripe; others remain years without losing their power to produce plants.
1739,"Some grow as soon as they come in contact with the soil; others must fall, be buried and frozen before they will germinate."
1740,"Some plants are perpetuated by bulbs, tubers, or roots in which a supply of food material is stored away to carry the plant over a period when its above ground parts cannot thrive owing to frost or drought."
1741,"Upon the return of favorable conditions, these resting parts throw out shoots and again make the round of growth, usually producing both seeds and underground parts for the preservation of the species."
1742,There are both wild and cultivated plants in nearly all sections which illustrate these methods of preservation.
1743,"Besides plants which have bulbs, tubers, or perennial roots, we have the large, woody plants which live many years and so perpetuate themselves, not only as individuals the same as plants with perennial roots; but they, too, as a rule, produce seed for the multiplication of their kind."
1744,Illustration: _Pinkster Flower_ It shows its pink flowers in rocky woods and thickets during spring.
1745,Illustration: _White Pine_ Common evergreen tree of the Northeastern states.
1746,Needle like leaves in bundles of five.
1747,"Illustration: _Butterfly Weed_ The bright, orange colored flowers are conspicuous in dry meadows from June to September."
1748,Illustration: _Poison Ivy_ Can be distinguished from the harmless woodbine by its three lobed leaves.
1749,continued The agencies which serve to spread plants about over the earth's surface are very varied and interesting.
1750,Nature has provided seeds with many appendages which assist in their dispersal.
1751,"Some seeds have wings, and some parachutes to take advantage of the wind."
1752,Some seeds are provided with hooks and stickers by which they become attached to the fur of animals and are in this way enabled to steal a free ride.
1753,"Other seeds are provided with edible coverings which attract birds, but the seeds themselves are hard and not digestible; the fruit is eaten and the seeds rejected and so plants are scattered."
1754,"Besides these methods of perpetuation and dispersal, some plants are perpetuated as well as dispersed by vegetative reproduction, i. e., by cuttings as in the case of willows; by runners as in the case of the strawberry; and by stolons as with the black raspberry."
1755,"Some plant characteristics, however, of greatest interest to the scout may be enumerated."
1756,"Plants not only mark zones, but they indicate soils with certain characteristics, and the crop wise say that the soil on which chestnut abounds is suitable for buckwheat or peaches."
1757,"Plants also indicate the influence of local conditions such as lakes, ponds, or even variations in contour."
1758,A knowledge of the local flora of a region will at once tell one whether he is upon a northern or a southern hillside by the plants of the area.
1759,"The creek bottom will abound with species not to be found on the hillsides, but species common to both plain and mountain will mark the progress of the season up the slope."
1760,In the north temperate zone the moss if any will be found growing upon the north side of the tree trunk.
1761,Each hundred feet of elevation in a given latitude makes from one to two days difference in time of blooming of plants.
1762,The character of the vegetation of a region is an index to its climate.
1763,"Certain plants are adapted to frigid regions, others to temperate, and still others to tropical areas."
1764,"Some plants are adapted to humid sections, while others are admirably adjusted to desert conditions."
1765,"A knowledge of these differences in plants will be of the greatest value to the scout, and if this is supplemented by information about the value and uses of the various plant products many hardships can be avoided."
1766,"Many plants produce valuable juices, gums, and resins, while others yield us valuable timber for building and cabinet uses."
1767,"While it is impossible to even suggest the great variety of plants found within the confines of the United States, the following books on botany will be found helpful in each of the different sections for which they are designed."
1768,"Bibliography For the botany of the Northeastern United States use: New Manual of Botany, h ed."
1769,Illustrated Flora of the United States and Canada.
1770,For the botany of the Southern United States use: Flora of the Southern United States.
1771,For the Botany of the Rocky Mountain region use: New Manual of Botany of the Central Rocky Mountains.
1772,John M. Coulter; Revised by Aven Nelson.
1773,For general information regarding the shrubby plants of the United States use: Our Shrubs of the United States.
1774,For the wild flowers outside of those already mentioned for the Southern United States and the Rocky Mountain region use: Our Garden Flowers.
1775,How to Know the Wild Flowers.
1776,Field Book of American Wild Flowers.
1777,For the ferns and grasses it will be found worth while to consult: How to Know the Ferns.
1778,New England Ferns and Their Common Allies.
1779,"The Grasses, Sedges, and Rushes of the North United States."
1780,For the study of the monarchs of our forests the following books will all be found exceedingly useful: Manual of the Trees of North America.
1781,Trees of the Northern United States.
1782,Handbook of the Trees of the Northern United States and Canada.
1783,"Besides these, several states have issued through their state experiment stations bulletins dealing with the local plant inhabitants."
1784,"In some instances these publications cover forest trees, grasses, and shrubs, either native or introduced."
1785,"Several of the educational institutions, as well as the experiment stations, now regularly issue nature study leaflets or bulletins which treat of popular subjects of interest in connection with outdoor things."
1786,It would be well to write the state experiment station in your state for literature of this nature.
1787,"MUSHROOMS, FUNGI, OR TOADSTOOLS _By Ernest Thompson Seton, Chief Scout Revised by Dr. C. C. Curtis_ There are thousands of different kinds of toadstools or mushrooms in the world; most of them are good to eat, yet all have a bad reputation, because some are deadly poisonous."
1788,First of all let us dispose of some ancient false tests that have led many into disaster.
1789,Cooking or otherwise trying with silver proves absolutely nothing.
1790,It is believed by many that the poisonous mushrooms turn silver black.
1791,Some do; some do not; and some eatable ones do.
1792,Bright colors on the cap also mean nothing; many gorgeous toadstools are wholesome food.
1793,"But the color of the pores means a great deal, and this is determined by laying the fungus cap gills down on gray paper for six or eight hours under a glass."
1794,Poisonous Toadstools Of all the poisonous kinds the deadliest are the Amanitas.
1795,"Not only are they widespread and abundant, but they are unhappily much like the ordinary table mushrooms."
1796,"They have however one or two strong marks: Their stalk always grows out of a poison cup which shows either as a cup or as a bulb; they have white or yellow gills, and white spores."
1797,"The worst of these are: Deathcup, Destroying Angel, Sure death, or Deadly Amanita One and one half to five inches across the cup; three to seven inches high; white, green, yellowish olive, or grayish brown; smooth but sticky when moist; gills white; spores white; on the stem is an annulus or ring just below the cap."
1798,"Fly Amanita About the same size; mostly yellow, but ranging from orange red to or almost white; usually with raised white spots or scales on the top; gills white or tinged yellow; spores white; flesh white."
1799,"Hated Amanita Four to six inches high; cap three to five inches across; white, tinged with brown in places especially in the middle of the cap, where it has sometimes a bump."
1800,"Illustration: Deadly amanita Illustration: Fly amanita Illustration: Hated amanita There are over a score more of amanitas varying in size and color, but all have the general style of mushrooms, and the label marks of poison, viz., white or yellow gills, a poison cup, and white spores."
1801,Emetic Russula In a less degree this russula is poisonous.
1802,"It is a short stemmed mushroom, two to four inches high, about the size of the Fly Amanita; its cap is rosy red, pinkish when young, dark red when older, fading to straw color in age; its gills and spores white."
1803,Its peppery taste when raw is a fair notice of danger.
1804,"_Symptoms of Poisoning_: Vomiting and purging, the discharge from the bowels being watery with small flakes suspended and sometimes containing blood, cramps in the extremities."
1805,"The pulse is very slow and strong at first but later weak and rapid, sometimes sweat and saliva pour out."
1806,"Dizziness, faintness, and blindness, the skin clammy, cold, and bluish, or livid; temperature low with dreadful tetanic convulsions, and finally stupor."
1807,"_Remedy_: Take an emetic at once, and send for a physician with instructions to bring hypodermic syringe and atropine sulphate."
1808,"The dose is of a grain, and doses should be continued heroically until of a grain is administered, or until, in the physician's opinion, a proper quantity has been injected."
1809,"Where the victim is critically ill, the of a grain may be administered."
1810,Illustration: Emetic russula: russula emetica Illustration: Mushrooms WHOLESOME TOADSTOOLS IMPORTANT NOTE. Experimenting with mushrooms is dangerous; it is better not to eat them unless gathered under expert direction.
1811,"The Common Mushroom Known at once by its general shape and smell, its pink or brown gills, white flesh, brown spores and solid stem."
1812,Coprinus Also belonging to the gilled or true mushroom family are the ink caps of the genus.
1813,They grow on dung piles and rich ground.
1814,They spring up over night and perish in a day.
1815,In the last stage the gills turn as black as ink.
1816,Inky Coprinus This is the species illustrated.
1817,The example was from the woods; often it is less tall and graceful.
1818,"The cap is one inch to three inches in diameter, grayish or grayish brown, sometimes tinged lead color."
1819,"Wash and stew: Stew or bake from twenty to thirty minutes after thorough washing, being the recognized mode."
1820,"All the Clavarias or Coral Mushrooms are good except Clavaria dichotoma which is white, and has its branches divided in pairs at each fork."
1821,It grows on the ground under beeches and is slightly poisonous; it is rare.
1822,The Delicious Morel One and a half to three inches high; greenish with brown hollows.
1823,There are several kindred species of various colors.
1824,This is known by the cylindrical shape of its cap.
1825,Illustration: Inky coprinus Illustration: Morel Puffballs The next important and safe group are the puffballs before they begin to puff.
1826,"All our puffballs when young and solid white inside are good, wholesome food."
1827,"Some of them, like the brain puffball or the giant puffball, are occasionally a foot in diameter, and yield flesh enough to feed a dozen persons."
1828,"Illustration: Brain puffball Illustration: Pear puffball Illustration: Cup puffball They are well known to all who live in the country, their smooth rounded exterior, without special features except the roots, and their solid white interior are easily remembered."
1829,Bibliography The following are standard and beautifully illustrated works on mushrooms and toadstools.
1830,They have been freely used for guidance and illustrations in the preparation of the above: Edible Fungi of New York.
1831,"Published by New York State Museum, Albany,"
1832,"Published at New York by Doubleday, Page Co."
1833,"Published by the Bobbs Merrill Company of Indianapolis,"
1834,"The Ohio Library Co., Columbus, Ohio."
1835,"COMMON NORTH AMERICAN TREES White Pine A noble evergreen tree, up to feet high."
1836,"This is the famous pine of New England, the lumberman's prize."
1837,"Its leaves are in bunches of five, and are to inches long; cones to inches long."
1838,"Wood pale, soft, straight grained, easily split."
1839,Newfoundland to Manitoba and south to Illinois.
1840,Illustration: White pine Illustration: Hemlock Illustration: Red cedar There are many different kinds of pines.
1841,They are best distinguished by their cones.
1842,"Wood pale, soft, coarse, splintery, not durable."
1843,Leaves to inches long; cones about the same.
