,Sentences
3846,These objections are dealt with elsewhere in this volume.
3847,"United States _v._ Butler, U.S. ."
3848,"Carter _v._ Carter Coal Co., U.S. ."
3849,"National Labor Relations Board _v._ Fruehauf Trailer Co., U.S. ; National Labor Relations Board _v._ Friedman Harry Marks Clothing Co., U.S. ."
3850,"National Labor Relations Board _v._ Fainblatt, U.S. ."
3851,"_See_ Santa Cruz Fruit Packing Co. _v._ National Labor Relations Board, U.S. ."
3852,"United States _v._ Darby, U.S. ."
3853,"Owen J. Roberts, The Court and the Constitution, The Oliver Wendell Holmes Lectures ,"
3854,"The Act provided originally that for the purposes of this Act an employee shall be deemed to have been engaged in the production of goods if such employee was employed in any process or occupation necessary to the production thereof, in any State."
3855,", necessary to the production thereof becomes directly essential to the production thereof."
3856,"The effect of this change, which has not yet registered itself in judicial decision, seems likely to be slight, in view of the power, which the act gives the Administrator to lay down such terms and conditions as he finds necessary to carry out the purposes of his orders to prevent their evasion or circumvention."
3857,"_See_ Gemsco, Inc. _v._ Walling, U.S. ."
3858,"The employees involved in the following cases have been held to be covered by the act: Operating and maintenance employees of the owner of a loft building, space in which is rented to persons producing goods principally for interstate commerce ; an employee of an interstate motor transportation company, who acted as rate clerk and performed other incidental duties ; members of a rotary drilling crew, engaged within a State, as employees of an independent contractor, in partially drilling oil wells, a portion of the products from which later moved in interstate commerce ; employees of a wholesale paper company who are engaged in the delivery, from company warehouse within a State to customers within that State, after a temporary pause at such warehouses, of goods procured outside of the State upon prior orders from, or pursuant to contracts with, such customers ; employees of a private corporation who are engaged in the operation and maintenance of a drawbridge which is part of a toll road used extensively by persons and vehicles traveling in interstate commerce, and which spans an intercoastal waterway used in interstate commerce ; a night watchman employed in a plant in which veneer was manufactured from logs and from which a substantial portion of the manufactured product was shipped in interstate commerce ; employees putting in stand by time in the auxiliary fire fighting service of an employer engaged in interstate commerce ; warehouse and central office employees of an interstate retail chain store system ; employees of an independent contractor engaged in repairing abutments and substructures of bridges which were part of the line of an interstate railroad ; maintenance employees of an office building which was owned and operated by a manufacturing corporation and in which per cent of the rental space was used for its central offices, where its production of goods for interstate commerce was administered, managed and controlled, although the goods were actually produced at plants located elsewhere ; the employees of an electrical contractor, locally engaged in commercial and industrial wiring and dealing in electrical motors and generators for commercial and industrial uses, whose customers are engaged in the production of goods for interstate commerce ; employees of a window cleaning company, the greater part of whose work is done on the windows of industrial plants of producers of goods for interstate commerce ; mechanics engaged in servicing and maintaining equipment of a motor transportation company which is engaged in interstate commerce ."
3859,Nor does the maxim _de minimis_ apply to the act.
3860,Hence the publishers of a daily newspaper only about one half of one per cent of whose circulation is outside the State of publication are not by that fact excluded from the operation of the act.
3861,"On the other hand, an employee whose work it is to prepare meals and serve them to maintenance of way employees of an interstate railroad in pursuance of a contract between his employer and the railroad company is not engaged in commerce within the meaning of and of the Fair Labor Standards Act ; nor are maintenance employees of a typical metropolitan office building operated as an independent enterprise, which is used and is to be used for offices by every variety of tenants, including some producers of goods for commerce ; nor are maintenance employees of a building corporation which furnishes loft space to tenants engaged in production for interstate commerce unless an adequate proportion of such tenants are so engaged."
3862,"_Also_ Section of the Fair Labor Standards Act, which provides that no producer, shall ship or deliver for shipment in commerce any goods produced in an establishment in or about which any oppressive child labor has been employed was held inapplicable to a company engaged in the transmission in interstate commerce of telegraph messages, ."
3863,The decision was a five to four one.
3864,It should be added that the Court has not always been unanimous in favoring coverage by the act.
3865,"In the Borden case above, Chief Justice Stone, speaking for himself and Justice Roberts, protested, as follows: No doubt there are philosophers who would argue, what is implicit in the decision now rendered, that in a complex modern society there is such interdependence of its members that the activities of most of them are necessary to the activities of most others."
3866,But I think that Congress did not make that philosophy the basis of the coverage of the Fair Labor Standards Act.
3867,"It did not, by a 'house that Jack built' chain of causation, bring within the sweep of the statute the ultimate _causa causarum_ which result in the production of goods for commerce."
3868,Instead it defined production as a physical process.
3869,"It said in 'Produced means produced, manufactured, mined, handled, or in any other manner worked on' and declared that those who participate in any of these processes 'or in any process or occupation necessary to' them are engaged in production and subject to the Act."
3870,"On the other hand, the holding in East h St., above, was a five to four decision, and Justice Frankfurter, speaking for the Court took pains to explain that Congress in enacting the Fair Labor Standards Act, did not see fit, , to exhaust its constitutional power over commerce."
3871,"for a note reviewing both Supreme Court, lower Federal Court, and State court cases defining engaged in commerce as that term is used in the Fair Labor Standards Act."
3872,"In United States _v._ Rock Royal Co operative, U.S. , the Court sustained an order under the Agricultural Marketing Agreement Act of Stat."
3873,regulating the price of milk in certain instances.
3874,Said Justice Reed for the majority of the Court: The challenge is to the regulation 'of the price to be paid upon the sale by a dairy farmer who delivers his milk to some country plant.'
3875,"It is urged that the sale, a local transaction, is fully completed before any interstate commerce begins and that the attempt to fix the price or other elements of that incident violates the Tenth Amendment."
3876,"But where commodities are bought for use beyond State lines, the sale is a part of interstate commerce."
3877,"We have likewise held that where sales for interstate transportation were commingled with intrastate transactions, the existence of the local activity did not interfere with the federal power to regulate inspection of the whole."
3878,Activities conducted within the State lines do not by this fact alone escape the sweep of the Commerce Clause.
3879,Interstate commerce may be dependent upon them.
3880,Power to establish quotas for interstate marketing gives power to name quotas for that which is to be left within the State of production.
3881,"Where local and foreign milk alike are drawn into a general plan for protecting the interstate commerce in the commodity from the interferences, burdens and obstructions, arising from excessive surplus and the social and sanitary evils of low values, the power of the Congress extends also to the local sales. '"
3882,"Hood Sons _v._ United States, U.S. , another milk case; and Mulford _v._ Smith, U.S. , in which certain restrictions on the sale of tobacco, under the Agricultural Adjustment Act of Stat."
3883,", were sustained in an opinion by Justice Roberts, who spoke for the Court in the latter case."
3884,"United States _v._ The William, Fed."
3885,Other parts of this opinion are considered below in connection with the prohibiting of interstate commerce.
3886,"_See also_ Gibbons _v._ Ogden, Wheat."
3887,"; United States _v._ Marigold, How."
3888,"U.S. ; _cf._ United States _v._ California, U.S. ."
3889,"_See also_ Robert B. Cushman, National Police Power Under the Commerce Clause, Selected Essays on Constitutional Law,"
3890,"The Issue A little reflection will suffice to show that, as a matter of fact, any regulation at all of commerce implies some measure of power to prohibit it, since it is the very nature of regulation to lay down terms on which the activity regulated will be permitted and for noncompliance with which it will not be permitted."
3891,"It is also evident that when occasion does arise for an outright prohibition of an activity, the power to enact the required prohibition ordinarily must belong to the body which is vested with authority to regulate it, which in this instance is Congress."
3892,"What, then, are the outstanding differences between such conditional prohibitions of commerce and that with which this resume deals"
3893,There seem to be three such differences.
3894,"First, there is often a difference of _modus operandi_ between the statutes already considered and those about to be considered."
3895,"The former impinge upon persons or agencies engaged in interstate commerce and their activities in connection therewith, whereas the latter look primarily to things, or the subject matter, of the trade or commerce prohibited."
3896,"Secondly, there is a difference in purpose between the two categories of Congressional statutes."
3897,The purpose of the acts already treated is to lay down the conditions on which a designated branch of commerce among the States may be carried on; that of the acts now to be treated is to eliminate outright a designated branch of trade among the States.
3898,"In other words, whereas the former acts were, in general, preservative of the commerce which they regulated because of its value to society, the latter regard the commerce which they reach as detrimental to society."
3899,"The third, and most important difference from the point of view of Constitutional Law, is the difference in relation of the two categories of acts respectively to the reserved powers of the States."
3900,"The enactments of Congress already dealt with frequently intrude upon the ordinary field of jurisdiction of the States; but when they do so, it is because the acts or things which they thus bring under national control are regarded as local incidents of interstate commerce itself."
3901,The relation of the enactments about to be considered to the reserved powers of the States is precisely the inverse of this.
3902,"Their very purpose is to reach and control matters ordinarily governed by the State's police power, sometimes in order to make State policy more effective, sometimes in order to supply a corrective to it."
3903,The Argument Denying Congress' Power To Prohibit Interstate Commerce The principal argument against the constitutionality of prohibitory Congressional legislation pivoted on the dual conception of the Federal System The Federal Equilibrium .
3904,"The Constitution, the argument ran, clearly contemplates two spheres of governmental activity, that of the States, that of the United States; and while the latter government is generally supreme when the two collide with one another in the exercise of their respective powers, yet collision is not contemplated as the rule of life of the system, but the contrary."
3905,"And since there are these two spheres, the line to be drawn between them, in order to secure harmony instead of collision, should recognize that the objects which the National Government was established to promote are relatively few, while those which the States were retained to advance comprise the principal objectives of government, the protection of the public health, safety, morals, and welfare."
3906,"The power to promote these ends is, indeed, the very definition of the police power of the States that power for which all other powers of the States exist."
3907,"Seriously to impair the police power of the States, or to diminish their autonomy in its employment, would be, in fact to remove their reason for being, and so the reason for the Federal System itself."
3908,"So while the power of Congress to regulate commerce among the States and with foreign nations is in terms a single power, in the intention of the framers it comprised two very different powers."
3909,"In the field of foreign relations, the National Government is completely sovereign, and the power to regulate commerce with foreign nations is but a branch of this sovereign power."
3910,"The power to regulate commerce among the States is, on the other hand, not a sovereign power except for purposes of commercial advantage; in other respects it is confronted at every turn by the police power of the States, and hence requires to be defined in relation to the known and frequently reiterated objectives of that power."
3911,"Indeed, it was urged on the authority of Madison that the power to regulate commerce among the States was not bestowed upon the National Government to be used for positive purposes, but merely as a negative and preventive provision against injustice among the States themselves."
3912,"Madison IV, Letters and Other Writings, ."
3913,"Furthermore, it is a power which was designed for the _promotion_ and _advancement_ of commerce, not a power to strike commerce down in order to advance other purposes and programs."
3914,"Grant that the power to regulate commerce among the States is the power to prohibit it at the discretion of Congress, and you at once endow Congress with power which it may use as a weapon to consolidate substantially all power in the hands of the National Government."
3915,"Thus, if Congress may prohibit _ad libitum_ the carrying on of interstate commerce, it may make deprivation of the right to engage in interstate commerce in any of its phases, even the right to move from one State to another, a sanction of ever increasing efficacy for whatever standards of conduct it may choose to lay down in any field of human action; and since laws passed by Congress in pursuance of its powers are generally supreme over conflicting State laws, these standards would supersede the conflicting standards imposed under the police powers of the States."
3916,"Henceforth, in effect, the police power would exist solely by leave and license of Congress as the power to govern men and things it would be at an end; and by the same token the Federal System, which is the outstanding feature of government under the Constitution, would be at an end."
3917,"In the First Employers' Liability Cases, , the majority of the Court, speaking through Justice White, gave special attention to the Government's argument that though the act, in terms, governed the liability of every interstate carrier to any of its employees, whether engaged in interstate commerce or not when the liability fell, it was none the less constitutional because one who engaged in interstate commerce thereby submits all his business concerns to the regulating power of Congress."
3918,Justice White answered: To state the proposition is to refute it.
3919,"It assumes that because one engages in interstate commerce he thereby endows Congress with power not delegated to it by the Constitution; in other words, with the right to legislate concerning matters of purely State concern."
3920,"It rests upon the conception that the Constitution destroyed that freedom of commerce which it was its purpose to preserve, since it treats the right to engage in interstate commerce as a privilege which cannot be availed of except upon such conditions as Congress may prescribe, even although the conditions would be otherwise beyond the power of Congress."
3921,"It is apparent that if the contention were well founded it would extend the power of Congress to every conceivable subject, however inherently local, would obliterate all the limitations of power imposed by the Constitution, and would destroy the authority of the States as to all conceivable matters which from the beginning have been, and must continue to be, under their control so long as the Constitution endures."
3922,"_See also_ Justice White's dissenting opinion, for himself, Chief Justice Fuller, and Justices Peckham and Holmes, in Northern Securities Co. _v._ United States, U.S. ."
3923,"The Argument Asserting the Power The thesis that the power to regulate commerce among the States comprises in general the power to prohibit it turns on the proposition stated by Marshall in his opinion in Gibbons _v._ Ogden, that this power is vested in Congress as absolutely as it would be in a single government, having in its Constitution the same restrictions on the exercise of the power as are found in the Constitution of the United States."
3924,"The wisdom and discretion of Congress, Marshall continued, their identity with the people, and the influence which their constituents possess at elections, are, in this, as in many other instances, as that, for example, of declaring war, the sole restraints on which they have relied, to secure them from its abuse."
3925,"That the National Government is a government of limited powers, the advocates of this view conceded; but the powers which it uncontrovertibly possesses, they urged, may be utilized to promote all good causes, of which fact, it was asserted, the Preamble of the Constitution itself was proof."
3926,"There the objectives of the Constitution and so, presumably, of the Government created by it, are stated to be more perfect union, justice, domestic tranquillity, the common defense, the general welfare, and liberty."
3927,"It was to forward these broad general purposes, then, that the commercial power, like its other powers, was bestowed upon the National Government."
3928,"No doubt it was expected that the States, too, would use the powers still left them to assist the same purposes, which indeed are those of good government always."
3929,Yet that circumstance should not operate to withdraw the powers delegated to the National Government from the service of these same ends.
3930,"The fact, in other words, that the power to govern commerce among the States was bestowed by the Constitution on the National Government should not imply that it thereby became available merely for the purpose of fostering such commerce."
3931,"It ought, on the contrary, to be applicable, as would be the equivalent power in England or France for instance, to aid and support all recognized objectives of government."
3932,"_See_ Juilliard _v._ Greenman , U.S. ."
3933,"As originally possessed by the several States, the power to regulate commerce with one another included the power to prohibit it at discretion; on what principle, then, it was asked, can it be contended that the power delegated to Congress is not as exhaustive and complete as the power it was designed to supersede"
3934,"_See_ especially Justice Holmes' dissenting opinion in Hammer _v._ Dagenhart, U.S. ."
3935,"And, the protagonists of this view continued, if the public health, safety, morals, and general welfare must depend solely upon the police powers of the States, they must in modern conditions, often fail of realization in this country."
3936,"With goods flowing over State lines in ever increasing quantities, and people in ever increasing numbers, how was it possible to regard the States as watertight compartments"
3937,"At least, then, when local legislative programs break down on account of the division of the country into States, it becomes the clear duty of Congress to adopt supplementary legislation to remedy the situation."
3938,"In doing so, it is not undermining the Federal System; it is supporting it, by making it viable in modern conditions."
3939,The assemblage of the States in one Union was never intended to put one State at the mercy of another.
3940,"If, however, well considered programs of legislation are rendered abortive in a State in consequence of the flow of commerce into it from other States, then it becomes the duty certainly it is within the discretion of Congress which alone can govern commerce among the States, to supply the required relief."
3941,_See_ especially Assistant Attorney General Maury's argument.
3942,"In this connection the advocates of this view cited discussion contemporaneous with Jefferson's Embargo, and under the embargo itself, as supporting their position."
3943,In the case of the Brigantine William the validity of the embargo was challenged before the United States District Court of Massachusetts on the ground that the power to regulate commerce did not embrace the power to prohibit it.
3944,"Judge Davis answered: It will be admitted that partial prohibitions are authorized by this expression; and how shall the degree, or extent, of the prohibition be adjusted, but by the discretion of the National Government, to whom the subject appears to have been committed"
3945,"The power to regulate commerce is not to be confined to the adoption of measures, exclusively beneficial to commerce itself, or tending to its advancement; but, in our national system, as in all modern sovereignties, it is also to be considered as an instrument for other purposes of general policy and interest."
3946,"the national right, or power, under the Constitution, to adapt regulations of commerce to other purposes, than the mere advancement of commerce, appears to be unquestionable."
3947,"The situation of the United States, in ordinary times, might render legislative interferences, relative to commerce, less necessary; but the capacity and power of managing and directing it, for the advancement of great national purposes, seems an important ingredient of sovereignty."
3948,And in confirmation of this argument Judge Davis cited the clause of of article I of the Constitution interdicting a prohibition of the slave trade till
3949,"This clause clearly proves that those who framed the Constitution perceived that under the power of regulating commerce, Congress would be authorized to abridge it, in favour of the great principles of humanity and justice."
3950,"The embargo, to be sure, operated on foreign commerce; but that there is any difference between Congress's power in relation to foreign and to interstate commerce the advocates of the view under consideration denied."
3951,"The power to regulate is the power which belongs to Congress as to the one as well as to the other; and if this comprehends the power to prohibit in the one case, it must equally, by acknowledged principles of statutory construction, comprehend it in the other case as well."
3952,"Nor in fact, the argument continued, does it make any difference, by approved principles of statutory construction, what purposes the framers of the Constitution may have immediately in mind when they gave Congress power to regulate commerce among the States; the governing consideration is that they gave Congress the power, to be exercised in accordance with its judgment of what are proper occasions for its use."
3953,"The reasons which may have caused the framers of the Constitution to repose the power to regulate interstate commerce in Congress do not, however, affect or limit the extent of the power itself."
3954,"Justice Peckham for the Court in Addyston Pipe Steel Co. _v._ United States, U.S. ."
3955,"References _See_ especially the arguments of counsel In re Rapier, U.S. ; Champion _v._ Ames , U.S. ; Hammer _v._ Dagenhart, U.S. ; Selected Essays on Constitutional Law,"
3956,"Indeed, regulation of interstate commerce by Congress may take the form of a positive adoption by it of a regime of State regulation in the form of statutes or of administrative regulations in some degree ; or Congress may regulate through the device of divestment of a subject matter of its interstate character, thus indirectly causing State laws to apply, as was done by the Wilson Act of in respect to intoxicating liquors, or by the McCarran Act of following the United States _v._ South Eastern Underwriters Association, U.S. , in respect to the insurance business."
3957,"In a sense, Congress may delegate to the States its power to regulate interstate commerce."
3958,"Illinois Central R. Co. _v._ McKendree, U.S. ."
3959,"_See also_ United States _v._ DeWitt, Wall."
3960,Of the nature of a quarantine act is the Federal Firearms Act of .
3961,"Champion _v._ Ames , U.S. ."
3962,"Champion _v._ Ames , U.S. ."
3963,"Hoke _v._ United States, U.S. ."
3964,"In Caminetti _v._ United States, U.S. the act was held to apply to the case of transportation of a woman for immoral purposes, although no commercial motive was present; and in Cleveland _v._ United States, U.S. , to the transportation of a plural wife by the member of a religious sect a tenet of which is polygamy."
3965,"United States _v._ Hill, U.S. ."
3966,_See also_ Kentucky Whip Collar Co. _v._ Illinois C.R.
3967,"United States _v._ Darby, U.S. ."
3968,"Roland Co. _v._ Walling, U.S. ."
3969,"Polish Alliance _v._ Labor Board, U.S. ."
3970,"_Cf._ the opinion of Chief Justice Vinson for the Court in Bus Employees _v._ Wisconsin Board, U.S. ."
3971,"Madison, IV, Letters and Other Writings, ."
3972,"Congressional regulation of commerce, however, does not have to be uniform."
3973,"The uniformity rule is a test of the invalidity of State legislation affecting commerce, not the validity of Congressional legislation regulating commerce."
3974,"Co., U.S. ; Currin _v._ Wallace, U.S. ; Prudential Ins."
3975,"McCarroll _v._ Dixie Greyhound Lines, U.S. ."
3976,Ribble's _State and National Power Over Commerce_ is an excellent study both of the Court's formulas and of the arbitral character of its task in this field of Constitutional Law.
3977,"On the latter point, see especially Chapters X and XII."
3978,The late Chief Justice Stone took repeated occasion to stress the balancing and adjusting role of the Court when applying the commerce clause in relation to State power.
3979,_See_ his words in South Carolina State Highway Dept.
3980,"_v._ Barnwell Bros., U.S. ; California _v._ Thompson, U.S. ; Parker _v._ Brown, U.S. ; and Southern Pacific _v._ Arizona,"
3981,"_See also_ Justice Black for the Court in United States _v._ South Eastern Underwriters Assoc., U.S. ."
3982,"Compare, for example, May _v._ New Orleans, U.S. ; and the recent case of Hooven Allison Co. _v._ Evatt, U.S. ."
3983,In the latter case the benefits of the original package doctrine were extended to imports from the Philippine Islands title to which did not vest in the importer until their arrival in the United States.
3984,"Said the Court: The rule has been asserted with great clearness, that whenever the subjects over which a power to regulate commerce is asserted are in their nature national, or admit of one uniform system or plan of regulation, they may justly be said to be of such a nature as to require exclusive legislation by Congress."
3985,"Surely transportation of passengers or merchandise through a State, or from one State to another, is of this nature."
3986,"It is of national importance that over that subject there should be but one regulating power, for if one State can directly tax persons or property passing through it, or tax them indirectly by levying a tax upon their transportation, every other may, and thus commercial intercourse between States remote from each other may be destroyed."
3987,"at citing Cooley _v._ Port Wardens, How."
3988,"Heisler _v._ Thomas Colliery Co., U.S. ."
3989,_See also_ Diamond Match Co. _v._ Ontonagon U.S. .
3990,"Hope Natural Gas Co. _v._ Hall, U.S. ."
3991,"_See also_ American Manufacturing Co. _v._ St. Louis, U.S. in which there was imposed a license tax on manufacture of goods computed upon the amount of sales of the goods."
3992,"Coverdale _v._ Arkansas Louisiana Pipe Line Co., U.S. ."
3993,"Dahnke Walker Milling Co. _v._ Bondurant, U.S. ."
3994,"Here a Tennessee corporation, in pursuance of its practice of purchasing grain in Kentucky to be transported to and used in its Tennessee mill, made a contract for the purchase of wheat, to be delivered in Kentucky on the cars of a public carrier, intending to forward it as soon as delivery was made."
3995,"It was held that the transaction was in interstate commerce, notwithstanding the contract was made and to be performed in Kentucky; and that the possibility that the purchaser might change its mind after delivery and sell the grains in Kentucky or consign it to some other place in that State did not affect the essential character of the transaction."
3996,"Interstate commerce, said the Court, is not confined to transportation from one State to another, but comprehends all commercial intercourse between different States and all the component parts of that intercourse."
3997,"Followed in Lemke _v._ Farmers Grain Co., U.S. ; and Flanagan _v._ Federal Coal Co., U.S. ."
3998,"Eureka Pipe Line Co. _v._ Hallanan, U.S. ."
3999,"United Fuel Gas Co. _v._ Hallanan, U.S. ."
4000,"_See also_ State Tax Commission _v._ Interstate Natural Gas Co., U.S. holding invalid a State privilege tax imposed on a foreign corporation selling to distributors in the State natural gas piped in from another State, whose only activity was the use of a thermometer and meter and reduction of pressure to permit vendee to draw off the gas."
4001,The work done by the plaintiff is done upon the flowing gas to help the delivery and seems to us plainly to be an incident to the interstate commerce between Louisiana and Mississippi.
4002,"_See also_ Pittsburgh S. Coal Co. _v._ Bates, U.S. ."
4003,"_See_ Wagner _v._ Covington, U.S. ."
4004,"Brimmer _v._ Rebman, U.S. ; Patapsco Guano Co. _v._ Board of Agriculture, U.S. ; Red C Oil Mfg."
4005,"Co. _v._ Board of Agriculture, U.S. ; Savage _v._ Jones, U.S. ; Foote Co. _v._ Stanley, U.S. ."
4006,"Standard Oil Co. _v._ Graves, U.S. ; Askren _v._ Continental Oil Co., U.S. ; Bowman _v._ Continental Oil Co., U.S. ; Texas Co. _v._ Brown, U.S. ."
4007,"Sonneborn Bros. _v._ Cureton, U.S. ."
4008,"_Cf._ Phipps _v._ Cleveland Refining Co., U.S. ."
4009,"Eastern Air Transport, Inc. _v._ South Carolina Tax Comm'n., U.S. ."
4010,"Rast _v._ Van Deman and Lewis, U.S. ."
4011,"_See also_ Tanner _v._ Little, U.S. , and Pitney _v._ Washington, U.S. upholding a Washington statute imposing a prohibitive license tax upon merchants using trading stamps or coupons redeemable in merchandise."
4012,"Howe Machine Co. _v._ Gage, U.S. ; Emert _v._ Missouri, U.S. ; Singer Sewing Machine Co. _v._ Brickell, U.S. ; Wagner _v._ City of Covington, U.S. ; Caskey Baking Co. _v._ Virginia, U.S. ."
4013,"_See also_ Armour Packing Co. _v._ Lacy, U.S. ."
4014,"U.S. ; _see also_ Ward _v._ Maryland, Wall."
4015,"_See_ Cook _v._ Pennsylvania, U.S. ; Guy _v._ Baltimore, U.S. ; Tiernan _v._ Rinker, U.S. ; Howe Machine Co. _v._ Gage, U.S. ; Webber _v._ Virginia, U.S. ; Walling _v._ Michigan, U.S. ; Darnell Son Co. _v._ Memphis, U.S. , where was held void a property tax on lumber which discriminated in favor of the local product: Bethlehem Motor Corp. _v._ Flynt, U.S. , where a license tax on distributors was held to be invalidated by the provision made for a rebate under conditions that could be met only by manufacturers within the taxing State."
4016,"General Oil Co. _v._ Crain, U.S. ."
4017,"American Steel Wire Co. _v._ Speed, U.S. ; Bacon _v._ Illinois, U.S. ; Susquehanna Coal Co. _v._ South Amboy, U.S. ; Minnesota _v._ Blasius, U.S. ; Independent Warehouses _v._ Scheele, U.S. ."
4018,"Edelman _v._ Boeing Air Transport, Inc., U.S. ."
4019,"The Court also upheld a tax on the sale of gasoline for use by an air transport line in conducting interstate transportation across the State in Eastern Air Transport, Inc. _v._ South Carolina Tax Comm., U.S. ."
4020,"Southern Pacific Co. _v._ Gallagher, U.S. ."
4021,"Pacific Telephone Telegraph Co. _v._ Gallagher, U.S. ."
4022,"Southern Pacific Co. _v._ Gallagher, U.S. , as formulated in the headnotes; _see also_ Monamotor Oil Co. _v._ Johnson, U.S. ."
4023,"Bingaman _v._ Golden Eagle Western Lines, U.S. ; McCarroll _v._ Dixie Greyhound Lines, U.S. ."
4024,"In Helson _v._ Kentucky, U.S. , the Court held that gasoline purchased in Illinois and used in an Illinois Kentucky ferry could not be taxed by Kentucky, being, as it were, a part of the ferry, an instrument of commerce between the two States."
4025,"_See also_ Kelley _v._ Rhoads, U.S. ; Champlain Realty Co. _v._ Brattleboro, U.S. ; Hughes Bros."
4026,"Timber Co. _v._ Minnesota, U.S. ; Carson Petroleum Co. _v._ Vial, U.S. ."
4027,"Corson _v._ Maryland, U.S. ; Asher _v._ Texas, U.S. ; Stoutenburgh _v._ Hennick, U.S. ; Brennan _v._ Titusville, U.S. ; Stockard _v._ Morgan, U.S. ; Crenshaw _v._ Arkansas, U.S. ; Rogers _v._ Arkansas, U.S. ; Stewart _v._ Michigan, U.S. ; Western Oil Refining Co. _v._ Lipscomb, U.S. ; Cheney Bros. _v._ Massachusetts, U.S. ."
4028,"Caldwell _v._ North Carolina, U.S. ."
4029,"Norfolk W.R. Co. _v._ Sims, U.S. ."
4030,"Rearick _v._ Pennsylvania, U.S. ; Dozier _v._ Alabama, U.S. ; Davis _v._ Virginia, U.S. ."
4031,"Real Silk Hosiery Mills _v._ Portland, U.S. ."
4032,"_See also_ Hump Hairpin Co. _v._ Emmerson, U.S. , holding that business done by a corporation through orders which were approved in a State where its tangible property and offices were located, but which were first taken by its salesmen in other States, was interstate, although the tax involved was sustained."
4033,"Ficklen _v._ Shelby County Taxing District, U.S. ."
4034,"Hatch _v._ Reardon, U.S. ; _Cf._ Nathan _v._ Louisiana, How."
4035,"Ware _v._ Mobile County, U.S. ."
4036,"_See also_ Brodnax _v._ Missouri, U.S. ."
4037,_See also_ Superior Oil _v._ Mississippi ex rel.
4038,"Wiloil Corp. _v._ Pennsylvania, U.S. ; _see also_ Minnesota _v._ Blasius, U.S. ."
4039,Here was involved a tax of fifty cents per gallon on all spiritous liquors brought into the State.
4040,"Comparing the tax with a similar one imposed upon liquors manufactured in the State, the Court upheld the statute."
4041,The taxes were complementary and were intended to effect equality.
4042,Some subsequent use tax cases in the Henneford pattern are the following: Bacon Sons _v._ Martin was decided in a unanimous _per curiam_ opinion.
4043,"It involved a Kentucky statute which imposed a tax on the 'receipt' of cosmetics in the State by any Kentucky retailer equal to twenty per cent of the invoice price plus transportation cost, if any to the Kentucky dealer."
4044,"The Kentucky court held that the imposition of the tax against the retailer is not on the act of receiving the cosmetics, but on the sale and use thereof, after the retailer has received them."
4045,On this interpretation the Supreme Court sustained the tax.
4046,"Obviously, other things being equal, there is little difference between a tax on receiving and a tax on possession a moment later."
4047,"In Felt Tarrant Manufacturing Co. _v._ Gallagher, U.S. , a California use tax was upheld applicable to a nonresident corporation which solicited orders from California purchasers through agents for whom it hired offices in the State and took orders subject to the vendor's approval."
4048,"In Nelson _v._ Sears, Roebuck Company and Nelson _v._ Montgomery Ward Company, U.S. and it was held that a foreign corporation which maintained retail stores in Iowa could be validly required to collect an Iowa use tax in respect of mail orders sent by Iowa purchasers to out of state branches of the corporation and filled by direct shipment by mail or common carrier from those branches to the purchasers."
4049,"In General Trading Company _v._ State Tax Commission, U.S. , also involving the Iowa tax, it was held that a company carrying on no operations in Iowa other than the solicitation of orders by traveling salesmen was liable for collection of the tax on goods sold to Iowa residents, even though the corporation was not licensed to do business in the State and the orders were forwarded for acceptance to Minnesota where they were filled by direct shipment to Iowa customers."
4050,"citing Ficklen _v._ Shelby County Taxing District, U.S. ; Howe Machine Co. _v._ Gage, U.S. ; and Wagner _v._ Covington, U.S. ."
4051,In the first it was held that the Robbins case did not apply to a firm of agents and brokers maintaining an office and samples throughout the year in the taxing district.
4052,The other two cases were totally irrelevant.
4053,"Memphis Steam Laundry _v._ Stone, U.S. ."
4054,"of Revenue, U.S. , although decided by a closely divided Court, further confirms this impression."
4055,"Henderson _v._ Mayor of New York, U.S. ; New York _v._ Compagnie Generale Transatlantique, U.S. ."
4056,"_See_ Covington C. Bridge Co. _v._ Kentucky, U.S. ; _also_ Edwards _v._ California, U.S. , the decision in which represents the exact inverse of that in the Crandall Case, being based by the majority on the commerce clause, while several of the Justices preferred to put it on the broader grounds invoked by Justice Miller in the Crandall Case."
4057,"Western Union Telegraph Company _v._ Texas, U.S. State Freight Tax Case, Wall."
4058,"and Pensacola Telegraph Co. _v._ Western Union Telegraph Co., U.S. were the precedents principally relied on."
4059,"U.S. ; followed in Cudahy Packing Co. _v._ Hinkle, U.S. ."
4060,"_Cf._, however, Western Live Stock _v._ Bureau of Revenue, U.S. ."
4061,"Anglo Chilean Nitrate Sales Corp. _v._ Alabama, U.S. ."
4062,"Cooney _v._ Mountain States Telephone Telegraph Co., U.S. ."
4063,"Fisher's Blend Station _v._ State Tax Commission, U.S. ."
4064,"Puget Sound Stevedoring Co. _v._ Tax Commission of Washington, U.S. ."
4065,"McCarroll _v._ Dixie Greyhound Lines, U.S. ."
